var_x,Intercept,x2,x1,R_2,R_1,R_,pi_c_2,pi_c_1,pi_c_,pi_i_2,pi_i_1,pi_i_,pi_d_2,pi_d_1,pi_d_,dy_2,dy_1,dy_,dc_2,dc_1,dc_,di_2,di_1,di_,dimp_2,dimp_1,dimp_,dex_2,dex_1,dex_,dE_2,dE_1,dE_,dS_2,dS_1,dS_,dw_2,dw_1,dw_,dy_star_2,dy_star_1,dy_star_,pi_star_2,pi_star_1,pi_star_,R_star_2,R_star_1,R_star_,tvar,trvar,ivar,irvar,tcorr,rcorr
adefault,-0.022400114,0.041698635,0.787366419,0,0,-0.003891392,0.016785895,0.036926759,0,0.01128393,-0.021557794,0,0,-0.003496048,0,0.027514353,0,0,0,0,0,0,0,0,-0.004669162,0,0,0,0,0,0.00E+00,0.078162961,-0.093388728,0,0,-0.005316463,0.008285381,0,0,0,0,0,0,0,-0.0202163,0,0,0,0.009954672,0.013481085,0.002779821,0.008916311,-2.46E-17,-0.40850441
bbbdefault,0.040937163,0,0.816099016,0.091939214,0,0,0,0,0,0,0,0.106156237,0,0,-0.005090452,0,0,0,-0.082880437,0,0,0,0,0,0.007239352,0,0.002691128,-0.019883997,0,0,0.00E+00,0,0,0,0,0,0,0.009026302,0,0,0,0,0,0,0,0,0,0,0.046792812,0.033776123,0.01419748,0.023486737,9.44E-17,-0.569607975
sp500,-0.451588709,0,-0.042053805,0,0,-3.28372709,0,-0.644659494,-3.753570349,0,-7.807647283,0,0,-0.330819392,0,-1.730552236,0,4.499463585,0,0,5.539263621,1.567585455,0,0,-1.218443078,-0.899624213,-0.155646622,0.777993149,1.125329788,0.8177387,1.39E+01,-7.260189447,-5.842691014,-0.367183004,0.715026569,-0.675520321,-2.025183318,0,0,0.150876996,0,0,1.511547484,0,0,-15.21251763,29.11477405,-12.56702368,41.78875244,97.55520228,18.75878197,35.20824588,3.24E-17,-0.02348483
sp500d,0.040914082,0.36783315,0.576635961,0,1.388292705,-1.40011963,0,0,0,0,0,0.290789737,-0.044978862,-0.017471279,0,0,0,0,0,0,0,0,0,0,0,0.01716828,0.036054247,0,0,0,0.00E+00,0,0,0,-0.003732552,0,0,0,0,-0.014573542,0,0.007657447,0,-0.055240032,-0.070132759,0,0,0,0.217026878,0.644892068,0.024007143,0.099992494,-7.30E-17,-0.054549915
spmid,9.960006561,0,0,-0.322054017,0,1.744655412,-1.677058979,-2.173538726,0,1.191914058,0,0,0.097323431,2.048964934,0,0,0,12.48829935,0,0,0,0,2.171472743,-2.90128154,0,0,0,0,0,-1.32157279,1.24E+01,-16.86698201,1.835878285,-0.514264169,0,-1.409636638,-4.286288076,0,2.450879224,0.537219287,0,-0.69383469,5.572017508,3.593583138,9.166589185,-9.395894198,0,0,61.45383484,133.5450784,26.62740991,36.40099948,-7.77E-17,0.294727556
spmidd,1.344557048,0,0,0,0,0,0,0,0,0,-0.258119367,0,-0.156544535,0,0,0,-0.397320928,0,-0.012230535,0,-0.05833121,0.046129111,0,0,0,0,-0.111529679,0,0,0.124214985,0.00E+00,0,0.303316802,-0.050701004,0,0.075072693,0,0,0,0,0.128443136,0.07786684,0,0,-0.202685119,0,0,0,0.111198468,0.061601747,0.103991488,0.192585336,-4.66E-16,0.473903641
spsmall,-3.861548812,0,0,0,-28.43519231,22.1540631,0.480982678,-3.176229945,0,0,-6.756818983,0,-0.226436099,1.251331826,0,0,0,5.94565203,0,0,0,0,3.247967795,-1.800259879,-1.028117215,0,0,0,0,0,1.58E+01,-17.81036638,0,0,0,0,-2.563677419,0,2.687836323,0.83310827,0,0,5.311709145,0,7.638811753,10.95930772,0,0,68.33528713,160.524309,30.09999878,29.62582414,-8.84E-17,0.32882221
spsmalld,1.421267928,0,-0.156229121,0,-0.416968663,0,0,0,0,0.026940721,0,-0.129649019,0.103818665,0,0,0,0,0,-0.19174651,0,0,0,0,-0.026234777,-0.09771174,0,0,0.062414005,0,0,0.00E+00,0,0.044302347,0.059824434,0,0.04788687,0.093103207,0,0.071660041,0.068886732,0,0,-0.351172894,-0.420366557,0,-1.711332907,0,1.797611635,0.151866332,0.267403416,0.074150623,0.033751433,-1.08E-16,-0.168534327
oil,2.854090689,0,-0.292662516,0,0,1.9636754,0.762489,0,0,0,0,0,-1.969067718,0,5.035105503,0,0,8.409631147,0,0,-3.154735578,0,1.45104108,-2.032994599,0,-0.088071592,1.316866285,0,0,0,8.66E+00,0,-12.15589718,0,-1.06818835,0,0,-2.415406661,0,0,0,0.326248596,0,-4.874176491,0,0,0,-1.542238881,157.777966,818.8551569,116.1308088,100.6086698,-1.57E-16,-0.24489342
gold,2.217099609,0,0,0,0,0,0,0,0,0,0,0,0,-0.82532044,0,-0.081861515,-3.750170503,0,2.698394746,0,0,-0.847304019,0,0.99532801,0.286758276,-0.065330521,0,0,0,0,0.00E+00,0,0,-0.011753851,0,-1.14518342,0,0,0,-0.378304716,0,0,0,0,0,-0.655080947,0,0,15.77533589,23.14418801,32.06352385,25.92722129,2.99E-17,-0.075812242
